YEARS,CO2EQ,KYOTO-CO2EQ,CO2,           CH4      ,           N2O    ,FGASSUMHFC134AEQ     ,MHALOSUMCFC12EQ      ,           CF4      ,          C2F6      ,         C6F14      ,         HFC23      ,         HFC32      ,      HFC43_10      ,        HFC125      ,       HFC134a      ,       HFC143a      ,      HFC227ea      ,      HFC245fa      ,           SF6      ,        CFC_11      ,        CFC_12      ,       CFC_113      ,       CFC_114      ,       CFC_115      ,      CARB_TET      ,           MCF      ,       HCFC_22      ,     HCFC_141B      ,     HCFC_142B      ,     HALON1211      ,     HALON1202      ,     HALON1301      ,     HALON2402      ,         CH3BR      ,         CH3CL
1765,2.7701467E+02,2.7701467E+02,2.7805158E+02,7.2189411E+02,2.7295961E+02,0E+00,0E+00,3.5E+01,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,5.8E+00,4.8E+02
1766,2.778388E+02,2.7781457E+02,2.7810615E+02,7.222557E+02,2.7297121E+02,0E+00,0E+00,3.5E+01,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,5.8E+00,4.8E+02
1767,2.7869351E+02,2.7868732E+02,2.7822039E+02,7.2297082E+02,2.7299419E+02,0E+00,0E+00,3.5E+01,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,5.8E+00,4.8E+02
1768,2.7874752E+02,2.7883598E+02,2.7834305E+02,7.2366792E+02,2.7301678E+02,0E+00,0E+00,3.5E+01,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,5.8E+00,4.8E+02
1769,2.7879644E+02,2.789888E+02,2.7847058E+02,7.2434313E+02,2.7303903E+02,0E+00,0E+00,3.5E+01,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,5.8E+00,4.8E+02
1770,2.7884896E+02,2.7914321E+02,2.7860047E+02,7.2499526E+02,2.7306096E+02,0E+00,0E+00,3.5E+01,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,5.8E+00,4.8E+02
1771,2.7888421E+02,2.7929941E+02,2.7873275E+02,7.2562885E+02,2.7308257E+02,0E+00,0E+00,3.5E+01,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,5.8E+00,4.8E+02
1772,2.7892512E+02,2.7945895E+02,2.7886881E+02,7.2624956E+02,2.7310386E+02,0E+00,0E+00,3.5E+01,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,5.8E+00,4.8E+02
1773,2.7899387E+02,2.7962229E+02,2.7900907E+02,7.2685863E+02,2.7312486E+02,0E+00,0E+00,3.5E+01,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,5.8E+00,4.8E+02
1774,2.7906906E+02,2.7978907E+02,2.7915318E+02,7.2745484E+02,2.7314563E+02,0E+00,0E+00,3.5E+01,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,5.8E+00,4.8E+02
